ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
101	26	1	1	0.000000	7.307692	7.307692	14.000000	12.423077	0	4	9
102	9	1	1	0.000000	12.333333	11.777778	15.888889	15.000000	0	7	10
103	6	1	1	0.000000	42.333333	42.000000	48.000000	45.500000	0	8	6
104	1	0	0	0.000000	23.000000	10.000000	26.000000	13.000000	0	12	15
105	8	1	1	0.000000	9.500000	9.500000	12.125000	12.125000	0	7	5
106	2	1	1	0.000000	10.500000	10.500000	14.000000	14.000000	0	7	7
107	21	1	2	0.000000	12.142857	11.666667	8.857143	8.857143	0	7	10
108	1	2	0	0.000000	22.000000	22.000000	56.000000	44.000000	0	11	25
109	27	1	1	0.000000	10.740741	8.888889	14.370370	12.925926	0	10	11
110	2	1	2	0.000000	15.500000	15.500000	26.000000	25.500000	0	10	14
