ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
216	8	1	2	0.000000	8.375000	7.375000	0.000000	0.000000	0	0	0
217	1	2	2	0.000000	34.000000	32.000000	0.000000	0.000000	0	0	0
218	6	1	2	0.000000	27.666667	27.666667	0.000000	0.000000	0	0	0
219	1	1	2	0.000000	29.000000	29.000000	0.000000	0.000000	0	0	0
220	57	2	2	0.000000	33.649123	30.701754	0.000000	0.000000	0	0	0
221	21	1	1	0.000000	1.190476	1.190476	0.000000	0.000000	0	0	0
222	96	2	2	0.000000	14.520833	11.677083	0.000000	0.000000	0	0	0
223	19	1	1	0.000000	5.210526	4.473684	0.000000	0.000000	0	0	0
224	42	1	1	0.000000	11.571429	10.547619	0.000000	0.000000	0	0	0
225	1	1	1	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
226	12	1	1	0.000000	15.083333	12.833333	0.000000	0.000000	0	0	0
227	9	1	2	0.000000	16.333333	15.111111	0.000000	0.000000	0	0	0
228	13	1	2	0.000000	17.846154	17.846154	0.000000	0.000000	0	0	0
229	4	2	2	0.000000	34.250000	34.250000	0.000000	0.000000	0	0	0
230	2	2	1	0.000000	30.500000	30.500000	0.000000	0.000000	0	0	0
231	19	1	1	0.000000	12.736842	11.263158	0.000000	0.000000	0	0	0
232	10	2	1	0.000000	13.000000	13.000000	0.000000	0.000000	0	0	0
233	4	1	1	0.000000	12.000000	12.000000	0.000000	0.000000	0	0	0
234	1	2	1	0.000000	46.000000	10.000000	0.000000	0.000000	0	0	0
235	2	2	1	0.000000	52.000000	22.000000	0.000000	0.000000	0	0	0
236	1	3	2	0.000000	53.000000	39.000000	0.000000	0.000000	0	0	0
237	4	1	1	0.000000	8.750000	8.750000	0.000000	0.000000	0	0	0
238	1	3	3	0.000000	43.000000	25.000000	0.000000	0.000000	0	0	0
239	4	2	2	0.000000	30.000000	21.250000	0.000000	0.000000	0	0	0
